,carat,cut,color,clarity,depth,table,price,x,y,z
99,0.73,Very Good,5,3,61.6,59.0,2760,5.77,0.73,0.73
100,0.8,Premium,2,3,61.5,58.0,2760,5.97,0.8,0.8
101,0.75,Very Good,6,3,63.2,56.0,2760,5.8,0.75,0.75
102,0.75,Premium,5,3,59.9,54.0,2760,6.0,0.75,0.75
103,0.74,Ideal,3,3,61.6,55.0,2760,5.8,0.74,0.74
104,0.75,Premium,3,4,61.7,58.0,2760,5.85,0.75,0.75
105,0.8,Ideal,1,5,62.9,56.0,2760,5.94,0.8,0.8
106,0.75,Ideal,3,3,62.2,55.0,2760,5.87,0.75,0.75
107,0.8,Premium,3,3,63.0,59.0,2760,5.9,0.8,0.8
108,0.74,Ideal,1,6,62.3,55.0,2761,5.77,0.74,0.74
109,0.81,Ideal,4,2,58.8,57.0,2761,6.14,0.81,0.81
110,0.59,Ideal,5,6,62.0,55.0,2761,5.38,0.59,0.59
111,0.8,Ideal,4,2,61.4,57.0,2761,5.96,0.8,0.8
112,0.74,Ideal,5,2,62.2,56.0,2761,5.8,0.74,0.74
113,0.9,Premium,1,4,63.0,58.0,2761,6.16,0.9,0.9
114,0.74,Very Good,3,3,62.2,59.0,2762,5.73,0.74,0.74
115,0.73,Ideal,4,4,62.6,56.0,2762,5.77,0.73,0.73
116,0.73,Ideal,4,4,62.7,53.0,2762,5.8,0.73,0.73
117,0.8,Premium,4,2,61.7,58.0,2762,5.98,0.8,0.8
118,0.71,Ideal,3,4,62.4,54.0,2762,5.72,0.71,0.71
119,0.7,Ideal,5,4,60.7,58.0,2762,5.73,0.7,0.7
120,0.8,Ideal,4,2,59.9,59.0,2762,6.01,0.8,0.8
121,0.71,Ideal,6,2,62.3,56.0,2762,5.73,0.71,0.71
122,0.74,Ideal,5,3,62.3,54.0,2762,5.8,0.74,0.74
123,0.7,Very Good,4,4,61.7,63.0,2762,5.64,0.7,0.7
124,0.7,Fair,4,4,64.5,57.0,2762,5.57,0.7,0.7
125,0.7,Fair,4,4,65.3,55.0,2762,5.63,0.7,0.7
126,0.7,Premium,4,4,61.6,60.0,2762,5.65,0.7,0.7
127,0.91,Premium,2,3,61.4,56.0,2763,6.09,0.91,0.91
128,0.61,Very Good,6,6,59.6,57.0,2763,5.56,0.61,0.61
129,0.91,Fair,2,2,64.4,57.0,2763,6.11,0.91,0.91
130,0.91,Fair,2,2,65.7,60.0,2763,6.03,0.91,0.91
131,0.77,Ideal,2,4,62.0,56.0,2763,5.89,0.77,0.77
132,0.71,Very Good,6,3,63.6,58.0,2764,5.64,0.71,0.71
133,0.71,Ideal,6,3,61.9,59.0,2764,5.69,0.71,0.71
134,0.7,Very Good,5,4,62.6,60.0,2765,5.62,0.7,0.7
135,0.77,Very Good,2,5,61.3,60.0,2765,5.88,0.77,0.77
136,0.63,Premium,5,7,60.9,60.0,2765,5.52,0.63,0.63
137,0.71,Very Good,4,5,60.1,62.0,2765,5.74,0.71,0.71
138,0.71,Premium,4,5,61.8,59.0,2765,5.69,0.71,0.71
139,0.76,Ideal,2,3,61.2,57.0,2765,5.88,0.76,0.76
140,0.64,Ideal,3,7,61.9,56.0,2766,5.53,0.64,0.64
141,0.71,Premium,3,4,60.9,57.0,2766,5.78,0.71,0.71
142,0.71,Premium,3,4,59.8,56.0,2766,5.89,0.71,0.71
143,0.7,Very Good,6,4,61.8,55.0,2767,5.68,0.7,0.7
144,0.7,Very Good,4,5,60.0,57.0,2767,5.8,0.7,0.7
145,0.71,Ideal,6,2,61.6,55.0,2767,5.74,0.71,0.71
146,0.7,Good,2,6,62.1,64.0,2767,5.62,0.7,0.7
147,0.71,Very Good,3,5,63.3,59.0,2768,5.52,0.71,0.71
148,0.73,Very Good,6,3,60.2,56.0,2768,5.83,0.73,0.73
149,0.7,Very Good,6,3,61.1,58.0,2768,5.66,0.7,0.7
150,0.7,Ideal,5,3,60.9,57.0,2768,5.73,0.7,0.7
151,0.71,Premium,6,2,61.7,59.0,2768,5.71,0.71,0.71
152,0.74,Ideal,1,3,61.3,56.0,2769,5.82,0.74,0.74
153,0.71,Premium,6,4,62.5,60.0,2770,5.65,0.71,0.71
154,0.73,Premium,3,4,61.4,59.0,2770,5.83,0.73,0.73
155,0.76,Very Good,4,3,62.9,57.0,2770,5.79,0.76,0.76
156,0.76,Ideal,6,2,62.4,57.0,2770,5.78,0.76,0.76
157,0.71,Ideal,4,3,60.7,56.0,2770,5.77,0.71,0.71
158,0.73,Premium,3,4,60.7,58.0,2770,5.87,0.73,0.73
159,0.73,Premium,3,5,61.5,58.0,2770,5.79,0.73,0.73
160,0.73,Ideal,6,2,59.9,57.0,2770,5.92,0.73,0.73
161,0.73,Premium,3,4,59.2,59.0,2770,5.92,0.73,0.73
162,0.72,Very Good,2,6,60.3,56.0,2771,5.81,0.72,0.72
163,0.73,Very Good,4,3,61.7,60.0,2771,5.79,0.73,0.73
164,0.71,Ideal,3,4,61.9,57.0,2771,5.73,0.71,0.71
165,0.79,Ideal,4,2,61.9,55.0,2771,5.97,0.79,0.79
166,0.73,Very Good,2,7,60.4,59.0,2772,5.83,0.73,0.73
167,0.8,Very Good,4,2,61.0,57.0,2772,6.01,0.8,0.8
168,0.58,Ideal,3,7,61.5,55.0,2772,5.39,0.58,0.58
169,0.58,Ideal,4,7,61.7,56.0,2772,5.33,0.58,0.58
170,0.71,Good,5,4,59.2,61.0,2772,5.8,0.71,0.71
171,0.75,Ideal,6,2,61.3,56.0,2773,5.85,0.75,0.75
172,0.7,Premium,6,4,58.0,62.0,2773,5.87,0.7,0.7
173,1.17,Very Good,0,1,60.2,61.0,2774,6.83,1.17,1.17
174,0.6,Ideal,5,5,61.7,55.0,2774,5.41,0.6,0.6
175,0.7,Ideal,5,3,62.7,55.0,2774,5.68,0.7,0.7
176,0.83,Good,1,4,64.6,54.0,2774,5.85,0.83,0.83
177,0.74,Very Good,4,4,61.3,61.0,2775,5.8,0.74,0.74
178,0.72,Very Good,3,4,63.7,56.4,2776,5.62,0.72,0.72
179,0.71,Premium,5,4,62.7,58.0,2776,5.74,0.71,0.71
180,0.71,Ideal,5,4,62.2,57.0,2776,5.79,0.71,0.71
181,0.54,Ideal,5,6,61.6,56.0,2776,5.25,0.54,0.54
182,0.54,Ideal,5,6,61.5,57.0,2776,5.24,0.54,0.54
183,0.72,Ideal,3,3,61.8,56.0,2776,5.72,0.72,0.72
184,0.72,Ideal,3,3,60.7,56.0,2776,5.79,0.72,0.72
185,0.72,Good,3,4,59.7,60.5,2776,5.8,0.72,0.72
186,0.71,Ideal,3,3,60.5,56.0,2776,5.8,0.71,0.71
187,0.7,Very Good,6,5,62.7,58.0,2777,5.66,0.7,0.7
188,0.71,Premium,4,4,62.1,58.0,2777,5.67,0.71,0.71
189,0.71,Very Good,4,4,62.8,57.0,2777,5.64,0.71,0.71
190,0.71,Good,4,4,63.8,58.0,2777,5.61,0.71,0.71
191,0.71,Good,4,4,57.8,60.0,2777,5.87,0.71,0.71
192,0.7,Ideal,5,4,62.1,55.0,2777,5.7,0.7,0.7
193,0.7,Premium,5,4,61.1,60.0,2777,5.71,0.7,0.7
194,0.7,Premium,5,3,60.0,59.0,2777,5.79,0.7,0.7
195,0.7,Premium,5,3,61.2,57.0,2777,5.73,0.7,0.7
196,0.7,Premium,5,3,62.7,59.0,2777,5.67,0.7,0.7
197,0.7,Premium,5,3,61.0,57.0,2777,5.73,0.7,0.7
198,0.7,Premium,5,3,61.0,58.0,2777,5.78,0.7,0.7
199,0.7,Ideal,5,3,61.4,57.0,2777,5.76,0.7,0.7
200,0.72,Premium,4,3,61.8,61.0,2777,5.82,0.72,0.72
201,0.7,Very Good,5,3,59.9,63.0,2777,5.76,0.7,0.7
202,0.7,Premium,5,3,61.3,58.0,2777,5.71,0.7,0.7
203,0.7,Premium,5,3,60.5,58.0,2777,5.77,0.7,0.7
204,0.7,Good,5,4,64.1,59.0,2777,5.64,0.7,0.7
205,0.98,Fair,2,2,67.9,60.0,2777,6.05,0.98,0.98
206,0.78,Premium,4,3,62.4,58.0,2777,5.83,0.78,0.78
207,0.7,Very Good,5,3,63.2,60.0,2777,5.6,0.7,0.7
208,0.52,Ideal,4,7,61.3,55.0,2778,5.19,0.52,0.52
209,0.73,Very Good,2,4,60.8,56.0,2779,5.82,0.73,0.73
210,0.74,Ideal,5,3,61.7,56.0,2779,5.84,0.74,0.74
211,0.7,Very Good,4,4,63.6,57.0,2780,5.61,0.7,0.7
212,0.77,Premium,3,4,61.2,58.0,2780,5.9,0.77,0.77
213,0.71,Ideal,4,4,62.1,54.0,2780,5.68,0.71,0.71
214,0.74,Ideal,3,5,61.5,55.0,2780,5.81,0.74,0.74
215,0.7,Ideal,3,5,61.4,59.0,2780,5.64,0.7,0.7
216,1.01,Premium,4,1,61.8,60.0,2781,6.39,1.01,1.01
217,0.77,Ideal,2,3,62.2,56.0,2781,5.83,0.77,0.77
218,0.78,Ideal,2,3,61.2,56.0,2781,5.92,0.78,0.78
219,0.72,Very Good,2,5,60.6,63.0,2782,5.83,0.72,0.72
220,0.53,Very Good,6,6,57.5,64.0,2782,5.34,0.53,0.53
221,0.76,Ideal,3,4,61.3,56.0,2782,5.9,0.76,0.76
222,0.7,Good,5,5,57.2,62.0,2782,5.81,0.7,0.7
223,0.7,Premium,5,5,62.9,60.0,2782,5.62,0.7,0.7
224,0.75,Very Good,6,2,63.1,58.0,2782,5.78,0.75,0.75
225,0.72,Ideal,6,3,60.8,57.0,2782,5.76,0.72,0.72
226,0.72,Premium,6,3,62.7,59.0,2782,5.73,0.72,0.72
227,0.7,Premium,6,3,62.8,60.0,2782,5.68,0.7,0.7
228,0.84,Fair,3,3,55.1,67.0,2782,6.39,0.84,0.84
229,0.75,Premium,4,3,61.4,59.0,2782,5.88,0.75,0.75
230,0.52,Ideal,4,8,62.2,55.0,2783,5.14,0.52,0.52
231,0.72,Very Good,4,4,63.0,54.0,2784,5.69,0.72,0.72
232,0.79,Very Good,2,5,63.7,56.0,2784,5.85,0.79,0.79
233,0.72,Very Good,4,4,63.6,58.0,2787,5.66,0.72,0.72
234,0.51,Ideal,4,7,62.0,57.0,2787,5.11,0.51,0.51
235,0.64,Ideal,6,5,61.5,56.0,2787,5.54,0.64,0.64
236,0.7,Very Good,2,7,60.5,60.0,2788,5.74,0.7,0.7
237,0.83,Very Good,1,5,61.1,60.0,2788,6.07,0.83,0.83
238,0.76,Ideal,1,6,61.8,56.0,2788,5.85,0.76,0.76
239,0.71,Good,6,4,63.3,56.0,2788,5.64,0.71,0.71
240,0.77,Good,3,5,59.4,64.0,2788,5.97,0.77,0.77
241,0.71,Ideal,4,3,62.5,55.0,2788,5.71,0.71,0.71
242,1.01,Fair,5,1,64.5,58.0,2788,6.29,1.01,1.01
243,1.01,Premium,2,2,62.7,59.0,2788,6.31,1.01,1.01
244,0.77,Good,4,3,64.2,52.0,2789,5.81,0.77,0.77
245,0.76,Good,5,3,63.7,54.0,2789,5.76,0.76,0.76
246,0.76,Premium,5,3,60.4,58.0,2789,5.92,0.76,0.76
247,0.76,Premium,5,3,61.8,58.0,2789,5.82,0.76,0.76
248,1.05,Very Good,0,2,63.2,56.0,2789,6.49,1.05,1.05
249,0.81,Ideal,3,2,61.6,56.0,2789,5.97,0.81,0.81
250,0.7,Ideal,5,3,61.6,56.0,2789,5.72,0.7,0.7
251,0.55,Ideal,3,8,60.9,57.0,2789,5.28,0.55,0.55
252,0.81,Good,3,2,61.0,61.0,2789,5.94,0.81,0.81
253,0.63,Premium,5,6,62.1,57.0,2789,5.48,0.63,0.63
254,0.63,Premium,5,7,60.9,60.0,2789,5.55,0.63,0.63
255,0.77,Premium,2,5,61.3,60.0,2789,5.9,0.77,0.77
256,1.05,Fair,0,2,65.8,59.0,2789,6.41,1.05,1.05
257,0.64,Ideal,3,8,61.3,56.0,2790,5.54,0.64,0.64
258,0.76,Premium,1,7,58.8,59.0,2790,6.0,0.76,0.76
259,0.83,Ideal,4,2,62.3,55.0,2790,6.02,0.83,0.83
260,0.71,Premium,4,5,60.1,62.0,2790,5.77,0.71,0.71
261,0.71,Premium,4,5,61.8,59.0,2790,5.73,0.71,0.71
262,0.87,Very Good,1,3,63.6,55.8,2791,6.07,0.87,0.87
263,0.73,Ideal,5,3,62.2,56.0,2791,5.74,0.73,0.73
264,0.71,Premium,5,3,59.2,59.0,2792,5.83,0.71,0.71
265,0.71,Premium,5,3,61.8,59.0,2792,5.7,0.71,0.71
266,0.71,Ideal,5,3,61.3,55.0,2792,5.72,0.71,0.71
267,0.7,Premium,4,5,62.1,60.0,2792,5.71,0.7,0.7
268,0.7,Premium,4,5,60.7,60.0,2792,5.78,0.7,0.7
269,0.76,Premium,2,6,59.6,57.0,2792,5.91,0.76,0.76
270,0.7,Ideal,4,5,62.2,56.0,2792,5.73,0.7,0.7
271,0.79,Very Good,3,3,60.6,57.0,2793,5.98,0.79,0.79
272,0.7,Very Good,5,4,62.9,57.0,2793,5.66,0.7,0.7
273,0.7,Good,5,4,64.1,55.0,2793,5.6,0.7,0.7
274,0.76,Ideal,1,4,61.3,56.0,2793,5.87,0.76,0.76
275,0.73,Ideal,2,4,62.7,55.0,2793,5.72,0.73,0.73
276,0.79,Very Good,5,3,63.2,56.0,2794,5.91,0.79,0.79
277,0.71,Very Good,5,4,60.7,56.0,2795,5.81,0.71,0.71
278,0.81,Premium,1,6,61.9,60.0,2795,5.91,0.81,0.81
279,0.81,Ideal,4,2,62.6,55.0,2795,5.92,0.81,0.81
280,0.72,Good,4,5,60.7,60.0,2795,5.74,0.72,0.72
281,0.72,Premium,6,2,62.0,60.0,2795,5.73,0.72,0.72
282,0.72,Premium,1,8,63.0,57.0,2795,5.72,0.72,0.72
283,0.81,Premium,2,4,58.0,59.0,2795,6.17,0.81,0.81
284,0.72,Premium,3,4,62.9,57.0,2795,5.73,0.72,0.72
285,1.0,Premium,1,2,58.2,60.0,2795,6.61,1.0,1.0
286,0.73,Good,5,3,63.2,58.0,2796,5.7,0.73,0.73
287,0.81,Very Good,2,2,61.3,59.0,2797,5.94,0.81,0.81
288,0.81,Very Good,5,3,60.3,60.0,2797,6.07,0.81,0.81
289,0.71,Premium,6,3,62.7,60.0,2797,5.67,0.71,0.71
290,0.71,Premium,6,3,61.3,58.0,2797,5.73,0.71,0.71
291,0.71,Premium,6,3,61.6,60.0,2797,5.74,0.71,0.71
292,0.57,Ideal,4,6,61.9,55.0,2797,5.34,0.57,0.57
293,0.51,Ideal,6,7,61.7,56.0,2797,5.12,0.51,0.51
294,0.72,Ideal,3,4,61.9,58.0,2797,5.72,0.72,0.72
295,0.74,Ideal,2,5,61.8,58.0,2797,5.77,0.74,0.74
296,0.74,Ideal,2,5,61.6,56.0,2797,5.81,0.74,0.74
297,0.7,Fair,3,7,58.8,66.0,2797,5.81,0.7,0.7
298,0.8,Premium,4,2,61.0,57.0,2797,6.03,0.8,0.8
299,1.01,Fair,5,2,67.4,60.0,2797,6.19,1.01,1.01
300,0.8,Very Good,2,4,63.4,60.0,2797,5.92,0.8,0.8
301,0.77,Ideal,1,5,61.5,59.0,2798,5.87,0.77,0.77
302,0.83,Very Good,5,2,58.0,62.0,2799,6.19,0.83,0.83
303,0.82,Ideal,4,2,62.4,54.0,2799,5.97,0.82,0.82
304,0.78,Ideal,6,3,61.9,57.0,2799,5.91,0.78,0.78
305,0.6,Very Good,3,8,61.6,56.0,2800,5.43,0.6,0.6
306,0.9,Good,1,2,62.2,59.0,2800,6.07,0.9,0.9
307,0.7,Premium,5,5,62.2,58.0,2800,5.6,0.7,0.7
308,0.9,Very Good,1,2,61.3,56.0,2800,6.17,0.9,0.9
309,0.83,Ideal,3,3,62.3,57.0,2800,5.99,0.83,0.83
310,0.83,Ideal,3,3,61.8,57.0,2800,6.03,0.83,0.83
311,0.83,Very Good,2,3,62.5,59.0,2800,5.95,0.83,0.83
312,0.74,Premium,3,5,62.9,60.0,2800,5.74,0.74,0.74
313,0.79,Ideal,1,5,61.8,59.0,2800,5.92,0.79,0.79
314,0.61,Ideal,3,8,62.3,56.0,2800,5.43,0.61,0.61
315,0.76,Fair,3,5,59.0,70.0,2800,5.89,0.76,0.76
316,0.96,Ideal,4,1,60.7,55.0,2801,6.37,0.96,0.96
317,0.73,Ideal,4,4,62.5,55.0,2801,5.8,0.73,0.73
318,0.73,Premium,4,4,62.7,58.0,2801,5.76,0.73,0.73
319,0.75,Ideal,2,3,60.4,57.0,2801,5.93,0.75,0.75
320,0.71,Premium,4,4,62.1,58.0,2801,5.7,0.71,0.71
321,0.71,Good,4,4,57.8,60.0,2801,5.9,0.71,0.71
322,0.71,Good,4,4,63.8,58.0,2801,5.64,0.71,0.71
323,0.71,Premium,4,4,62.8,57.0,2801,5.69,0.71,0.71
324,1.04,Premium,3,1,62.2,58.0,2801,6.46,1.04,1.04
325,1.0,Premium,0,2,62.3,58.0,2801,6.45,1.0,1.0
326,0.87,Very Good,3,2,59.9,58.0,2802,6.19,0.87,0.87
327,0.53,Ideal,4,8,61.9,54.0,2802,5.22,0.53,0.53
328,0.72,Premium,5,4,63.0,55.0,2802,5.79,0.72,0.72
329,0.72,Premium,4,5,62.4,58.0,2802,5.83,0.72,0.72
330,0.7,Very Good,4,4,62.9,58.0,2803,5.63,0.7,0.7
331,0.74,Very Good,5,3,63.5,56.0,2803,5.74,0.74,0.74
332,0.71,Ideal,3,4,61.3,56.0,2803,5.75,0.71,0.71
333,0.73,Ideal,5,3,60.6,54.0,2803,5.84,0.73,0.73
334,0.7,Good,3,5,65.1,58.0,2803,5.56,0.7,0.7
335,0.71,Premium,4,4,62.6,58.0,2803,5.7,0.71,0.71
336,0.71,Premium,4,4,58.0,62.0,2803,5.85,0.71,0.71
337,0.71,Premium,3,5,62.4,61.0,2803,5.7,0.71,0.71
338,0.77,Premium,3,4,61.3,57.0,2803,5.93,0.77,0.77
339,0.71,Premium,3,4,59.9,60.0,2803,5.81,0.71,0.71
340,0.78,Premium,3,4,60.8,58.0,2803,6.03,0.78,0.78
341,0.71,Very Good,3,5,63.5,55.0,2803,5.66,0.71,0.71
342,0.91,Ideal,6,2,62.2,57.0,2803,6.21,0.91,0.91
343,0.71,Very Good,5,4,63.8,58.0,2804,5.62,0.71,0.71
344,0.71,Very Good,5,4,64.0,57.0,2804,5.66,0.71,0.71
345,0.8,Very Good,5,2,62.5,56.0,2804,5.88,0.8,0.8
346,0.7,Very Good,6,3,62.3,58.0,2804,5.69,0.7,0.7
347,0.72,Ideal,4,5,61.7,57.0,2804,5.74,0.72,0.72
348,0.72,Very Good,4,5,62.2,58.0,2804,5.75,0.72,0.72
349,0.82,Ideal,2,4,61.5,56.0,2804,6.01,0.82,0.82
350,0.7,Ideal,6,3,61.0,59.0,2804,5.68,0.7,0.7
351,0.72,Ideal,6,3,62.2,56.0,2804,5.74,0.72,0.72
352,0.72,Ideal,6,3,61.5,54.0,2804,5.77,0.72,0.72
353,0.9,Fair,1,3,67.3,59.0,2804,5.93,0.9,0.9
354,0.74,Premium,4,4,61.7,58.0,2805,5.85,0.74,0.74
355,0.74,Premium,4,4,61.9,56.0,2805,5.8,0.74,0.74
356,0.73,Ideal,5,2,61.8,58.0,2805,5.77,0.73,0.73
357,0.57,Fair,5,7,58.7,66.0,2805,5.34,0.57,0.57
358,0.73,Premium,4,4,62.5,57.0,2805,5.75,0.73,0.73
359,0.72,Ideal,3,4,62.8,56.0,2805,5.74,0.72,0.72
360,0.74,Fair,4,4,61.1,68.0,2805,5.82,0.74,0.74
361,0.82,Good,3,4,64.0,57.0,2805,5.92,0.82,0.82
362,0.81,Very Good,3,3,62.5,60.0,2806,5.89,0.81,0.81
363,0.75,Very Good,2,7,60.6,58.0,2806,5.85,0.75,0.75
364,0.7,Ideal,4,3,61.6,55.0,2806,5.72,0.7,0.7
365,0.71,Very Good,4,5,62.2,58.0,2807,5.66,0.71,0.71
366,0.71,Very Good,4,5,60.0,57.0,2807,5.84,0.71,0.71
367,0.93,Premium,0,2,61.9,57.0,2807,6.21,0.93,0.93
368,0.8,Very Good,2,4,62.8,57.0,2808,5.87,0.8,0.8
369,0.7,Very Good,4,5,62.0,57.0,2808,5.64,0.7,0.7
370,1.0,Fair,3,1,66.4,59.0,2808,6.16,1.0,1.0
371,0.75,Very Good,3,4,63.4,56.0,2808,5.78,0.75,0.75
372,0.58,Ideal,5,6,60.9,56.0,2808,5.41,0.58,0.58
373,0.73,Very Good,6,3,63.1,57.0,2808,5.74,0.73,0.73
374,0.81,Very Good,4,3,63.1,59.0,2809,5.85,0.81,0.81
